City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Moerai,PF,2022-06-12 22:53:02,-22.4333,-151.3333,75.87,69,93,14.79
68,Opuwo,NA,2022-06-12 22:53:02,-18.0607,13.84,55.94,52,0,2.71
69,Great Falls,US,2022-06-12 22:49:08,47.5002,-111.3008,67.59,41,100,8.05
70,Krapivinskiy,RU,2022-06-12 22:53:03,54.9992,86.8133,61.38,89,83,4.09
71,Lagoa,PT,2022-06-12 22:53:03,39.05,-27.9833,61.79,79,17,24.63
72,Hilo,US,2022-06-12 22:50:27,19.7297,-155.09,92.28,85,100,6.91
73,Lorengau,PG,2022-06-12 22:53:04,-2.0226,147.2712,82.81,76,77,10.49
74,Nikolskoye,RU,2022-06-12 22:53:05,59.7035,30.7861,58.89,95,95,3.04
75,Dedougou,BF,2022-06-12 22:53:05,12.4667,-3.4667,88.18,46,19,8.95
76,Karpathos,GR,2022-06-12 22:53:06,35.507,27.2132,71.56,78,3,19.57
77,Chuy,UY,2022-06-12 22:51:10,-33.6971,-53.4616,47.86,91,2,6.51
78,Sorland,NO,2022-06-12 22:53:06,67.667,12.6934,49.86,92,100,13.09
79,Cooma,AU,2022-06-12 22:53:07,-36.2333,149.1333,37.17,93,100,5.75
80,Andenes,NO,2022-06-12 22:53:07,69.3143,16.1194,44.58,87,100,14.97
81,Goderich,CA,2022-06-12 22:51:32,43.7501,-81.7165,59.32,82,100,6.91
82,Stokmarknes,NO,2022-06-12 22:53:08,68.5646,14.9108,48.18,87,100,6.91
83,Juntas,CR,2022-06-12 22:53:09,10.2809,-84.9595,74.08,97,100,8.43
84,Souillac,MU,2022-06-12 22:53:09,-20.5167,57.5167,71.98,88,75,12.66
85,Boyolangu,ID,2022-06-12 22:53:10,-8.1181,111.8935,74.95,91,100,1.05
86,Pangnirtung,CA,2022-06-12 22:53:10,66.1451,-65.7125,32.76,92,97,1.74
87,Hermanus,ZA,2022-06-12 22:53:10,-34.4187,19.2345,65.8,76,100,20.13
88,Cayenne,GF,2022-06-12 22:53:11,4.9333,-52.3333,82.09,1,0,2.3
89,Bathsheba,BB,2022-06-12 22:53:11,13.2167,-59.5167,83.01,78,20,19.57
90,Araouane,ML,2022-06-12 22:53:12,18.9048,-3.5265,90.82,27,18,15.64
91,Ponta Do Sol,PT,2022-06-12 22:53:12,32.6667,-17.1,70.72,82,5,1.01
92,Sao Filipe,CV,2022-06-12 22:53:13,14.8961,-24.4956,73.54,84,8,1.32
93,Barrow,US,2022-06-12 22:54:13,71.2906,-156.7887,35.94,71,92,6.62
94,Ahuimanu,US,2022-06-12 22:50:57,21.4447,-157.8378,85.14,66,40,21.85
95,Ballina,AU,2022-06-12 22:54:14,-28.8667,153.5667,56.01,70,98,7.9
96,Dalby,AU,2022-06-12 22:54:14,-27.1833,151.2667,46.98,88,75,7.76
97,Pundaguitan,PH,2022-06-12 22:54:15,6.3711,126.1689,82.26,74,97,6.67
98,Ancud,CL,2022-06-12 22:54:16,-41.8697,-73.8203,50.23,84,100,12.26
99,Guadalajara,MX,2022-06-12 22:50:55,20.6667,-103.3333,71.26,59,53,8.25
100,Oga,IT,2022-06-12 22:54:16,46.4631,10.347,57.88,65,0,2.89
101,Olafsvik,IS,2022-06-12 22:54:17,64.8945,-23.7142,47.26,83,100,6.17
102,Cagliari,IT,2022-06-12 22:54:17,39.245,9.0912,74.95,56,0,4.61
103,Katsuura,JP,2022-06-12 22:54:18,35.1333,140.3,68.45,70,100,6.58
104,Leningradskiy,RU,2022-06-12 22:54:19,69.3833,178.4167,36.23,76,100,12.59
105,Ola,RU,2022-06-12 22:54:19,59.5833,151.2833,46.15,86,71,5.48
106,Takoradi,GH,2022-06-12 22:54:20,4.8845,-1.7554,76.8,82,73,6.58
107,Leiyang,CN,2022-06-12 22:54:20,26.4024,112.8591,71.01,99,100,3.15
108,Safranbolu,TR,2022-06-12 22:54:21,41.2508,32.6942,59.54,98,100,1.77
109,Kimberley,ZA,2022-06-12 22:54:21,-28.7323,24.7623,47.89,61,100,8.05
110,Cockburn Town,TC,2022-06-12 22:54:22,21.4612,-71.1419,84.16,70,40,18.41
111,The Valley,AI,2022-06-12 22:54:22,18.217,-63.0578,84.06,74,40,14.97
112,Zhigansk,RU,2022-06-12 22:54:23,66.7697,123.3711,50.27,95,100,4.85
113,Zambezi,ZM,2022-06-12 22:54:24,-13.5432,23.1047,54.61,61,0,4.92
114,Nemuro,JP,2022-06-12 22:54:24,43.3236,145.575,46.18,96,100,18.32
115,Estepa,ES,2022-06-12 22:54:24,37.2926,-4.879,76.8,24,35,9.01
116,Lososina,RU,2022-06-12 22:54:25,48.9975,140.3106,55.13,72,4,8.52
117,Acapulco,MX,2022-06-12 22:54:25,16.8634,-99.8901,84.65,68,37,9.24
118,Torbay,CA,2022-06-12 22:54:26,47.6666,-52.7314,68.77,60,20,18.41
119,Nynashamn,SE,2022-06-12 22:54:27,58.9034,17.9479,55.17,86,73,13.76
120,Soyo,AO,2022-06-12 22:54:27,-6.1349,12.3689,73.58,91,61,5.35
121,Hobe Sound,US,2022-06-12 22:54:28,27.0595,-80.1364,90.0,58,98,7.65
122,Dikson,RU,2022-06-12 22:54:28,73.5069,80.5464,29.7,95,100,16.89
123,Grand Gaube,MU,2022-06-12 22:54:29,-20.0064,57.6608,72.0,83,81,5.01
124,Ribeira Grande,PT,2022-06-12 22:54:29,38.5167,-28.7,62.85,76,14,23.76
125,Sola,VU,2022-06-12 22:54:30,-13.8833,167.55,80.37,77,35,11.1
126,Ketchikan,US,2022-06-12 22:54:31,55.3422,-131.6461,55.56,68,96,4.61
127,Marawi,PH,2022-06-12 22:54:31,7.9986,124.2928,72.37,88,84,1.39
128,Severo-Kurilsk,RU,2022-06-12 22:54:32,50.6789,156.125,45.3,86,39,9.1
129,Tilichiki,RU,2022-06-12 22:54:32,60.4667,166.1,48.81,57,44,1.86
130,Mahebourg,MU,2022-06-12 22:54:33,-20.4081,57.7,71.89,88,75,12.66
131,Honiara,SB,2022-06-12 22:50:43,-9.4333,159.95,84.13,62,16,3.89
132,Lebu,CL,2022-06-12 22:54:34,-37.6167,-73.65,48.78,90,100,9.08
133,Rio Gallegos,AR,2022-06-12 22:54:34,-51.6226,-69.2181,46.45,76,0,1.14
134,Bambous Virieux,MU,2022-06-12 22:54:34,-20.3428,57.7575,71.85,88,75,12.66
135,Tiksi,RU,2022-06-12 22:54:35,71.6872,128.8694,43.05,72,41,4.52
136,Port Elizabeth,ZA,2022-06-12 22:54:35,-33.918,25.5701,71.31,32,0,8.05
137,Malinyi,TZ,2022-06-12 22:54:36,-8.9333,36.1333,63.03,74,21,3.42
138,Sao Felix Do Xingu,BR,2022-06-12 22:54:36,-6.6447,-51.995,74.53,87,72,1.39
139,Hithadhoo,MV,2022-06-12 22:55:37,-0.6,73.0833,83.62,73,100,9.04
140,Santa Fe,AR,2022-06-12 22:53:42,-31.6333,-60.7,59.02,57,0,1.99
141,Poronaysk,RU,2022-06-12 22:55:37,49.2167,143.1167,49.48,84,78,5.82
142,Japura,ID,2022-06-12 22:55:38,-0.3167,102.35,73.22,98,99,2.93
143,Bol,TD,2022-06-12 22:55:38,13.4586,14.7147,82.96,71,66,8.99
144,Corsicana,US,2022-06-12 22:55:39,32.0954,-96.4689,106.75,17,0,13.04
145,Perry,US,2022-06-12 22:51:15,37.2506,-83.1999,84.38,67,99,1.41
146,Wanning,CN,2022-06-12 22:55:40,18.8003,110.3967,81.82,90,99,12.24
147,Loandjili,CG,2022-06-12 22:55:40,-4.7561,11.8578,74.28,91,19,4.38
148,Chokurdakh,RU,2022-06-12 22:55:41,70.6333,147.9167,60.48,24,8,13.15
149,San Quintin,MX,2022-06-12 22:55:41,30.4833,-115.95,72.32,68,1,15.57
150,Vardo,NO,2022-06-12 22:55:41,70.3705,31.1107,44.58,70,20,8.05
151,Milford,US,2022-06-12 22:55:42,41.2223,-73.0565,71.78,82,40,5.75
152,Ambulu,ID,2022-06-12 22:55:42,-8.345,113.6058,74.93,91,70,2.82
153,Ascension,US,2022-06-12 22:55:43,30.2169,-90.9001,94.08,65,0,8.05
154,Cabedelo,BR,2022-06-12 22:52:12,-6.9811,-34.8339,75.87,81,8,8.97
155,Ihosy,MG,2022-06-12 22:55:44,-22.4,46.1167,53.96,95,36,7.49
156,Kavieng,PG,2022-06-12 22:55:44,-2.5744,150.7967,82.0,78,80,13.96
157,Coquimbo,CL,2022-06-12 22:55:44,-29.9533,-71.3436,51.53,87,40,9.22
158,Iberia,US,2022-06-12 22:55:45,29.9502,-91.7507,93.06,68,14,14.27
159,Chegdomyn,RU,2022-06-12 22:55:45,51.1167,133.0167,66.67,74,100,0.49
160,Carnarvon,AU,2022-06-12 22:55:46,-24.8667,113.6333,64.47,71,19,14.54
161,Vestmannaeyjar,IS,2022-06-12 22:55:46,63.4427,-20.2734,46.81,90,100,10.11
162,Nuuk,GL,2022-06-12 22:55:46,64.1835,-51.7216,31.87,73,100,13.0
163,Provideniya,RU,2022-06-12 22:55:47,64.3833,-173.3,40.32,63,92,1.83
164,Willmar,US,2022-06-12 22:55:48,45.1219,-95.0433,91.35,27,0,12.66
165,Aykhal,RU,2022-06-12 22:55:48,66.0,111.5,58.82,44,24,8.37
166,Thompson,CA,2022-06-12 22:55:49,55.7435,-97.8558,75.36,31,75,6.91
167,Richards Bay,ZA,2022-06-12 22:55:49,-28.783,32.0377,60.42,67,0,9.86
168,Timmins,CA,2022-06-12 22:51:57,48.4669,-81.3331,55.22,82,100,8.05
169,Naples,IT,2022-06-12 22:53:20,40.8333,14.25,75.85,57,0,1.14
170,Novobirilyussy,RU,2022-06-12 22:55:50,56.9514,90.6661,59.81,86,4,5.21
171,Upernavik,GL,2022-06-12 22:55:50,72.7868,-56.1549,30.49,75,91,8.72
172,Melipilla,CL,2022-06-12 22:55:51,-33.7,-71.2167,50.81,88,5,3.31
173,Saint-Leu,RE,2022-06-12 22:55:51,-21.15,55.2833,70.32,77,38,10.54
174,Cidreira,BR,2022-06-12 22:55:52,-30.1811,-50.2056,53.15,65,96,15.95
175,Port Lincoln,AU,2022-06-12 22:55:52,-34.7333,135.8667,52.65,79,99,10.89
176,Huatulco,MX,2022-06-12 22:55:53,15.8436,-96.3267,83.86,73,75,6.91
177,Otuzco,PE,2022-06-12 22:55:54,-7.9,-78.5833,51.24,72,61,1.95
178,Celestun,MX,2022-06-12 22:55:54,20.8667,-90.4,82.78,73,61,16.75
179,Scarborough,GB,2022-06-12 22:53:38,54.2797,-0.4044,50.94,84,7,1.99
180,Kuytun,RU,2022-06-12 22:55:54,54.3419,101.5036,60.1,77,100,6.06
181,Sakakah,SA,2022-06-12 22:55:55,29.9697,40.2064,90.97,21,0,9.22
182,Caucaia,BR,2022-06-12 22:54:59,-3.7361,-38.6531,81.03,74,0,6.91
183,Haines Junction,CA,2022-06-12 22:56:56,60.7522,-137.5108,60.75,41,100,6.91
184,Arraial Do Cabo,BR,2022-06-12 22:56:17,-22.9661,-42.0278,67.86,68,75,13.8
185,Chany,RU,2022-06-12 22:56:57,55.3121,76.7647,56.12,90,7,7.76
186,Vostok,RU,2022-06-12 22:56:57,46.4856,135.8833,62.62,51,4,1.66
187,Constitucion,CL,2022-06-12 22:56:08,-35.3333,-72.4167,49.95,90,99,0.85
188,Mackay,AU,2022-06-12 22:56:58,-21.15,149.2,60.67,53,0,7.78
189,Areosa,PT,2022-06-12 22:56:58,41.7178,-8.8571,69.31,82,1,3.51
190,Umea,SE,2022-06-12 22:56:59,63.8284,20.2597,52.92,100,100,2.3
191,Kodiak,US,2022-06-12 22:56:59,57.79,-152.4072,57.83,71,22,7.52
192,Morant Bay,JM,2022-06-12 22:57:00,17.8815,-76.4093,82.02,83,97,12.77
193,Batagay,RU,2022-06-12 22:57:00,67.6333,134.6333,68.43,31,70,12.66
194,Dutlwe,BW,2022-06-12 22:57:01,-23.9833,23.9,54.79,47,0,7.81
195,Sosnogorsk,RU,2022-06-12 22:57:01,63.6023,53.8817,42.28,64,3,4.88
196,Laguna,US,2022-06-12 22:57:02,38.421,-121.4238,85.75,53,0,19.57
197,Yeppoon,AU,2022-06-12 22:57:03,-23.1333,150.7333,55.18,56,1,4.72
198,Nedjo,ET,2022-06-12 22:57:03,9.5046,35.5019,59.4,93,83,1.5
199,Srednekolymsk,RU,2022-06-12 22:57:04,67.45,153.6833,64.58,31,11,4.47
200,Qaanaaq,GL,2022-06-12 22:57:05,77.484,-69.3632,29.98,73,7,7.43
201,Cherskiy,RU,2022-06-12 22:57:05,68.75,161.3,66.83,30,29,2.89
202,Klyuchi,RU,2022-06-12 22:57:05,52.2667,79.1667,69.6,43,99,5.64
203,Palmer,US,2022-06-12 22:57:06,42.1584,-72.3287,70.97,74,75,4.0
204,Meulaboh,ID,2022-06-12 22:57:06,4.1363,96.1285,75.78,82,100,4.45
205,Qaqortoq,GL,2022-06-12 22:57:07,60.7167,-46.0333,38.79,93,99,4.14
206,Shenjiamen,CN,2022-06-12 22:57:07,29.9576,122.298,69.3,97,100,3.58
207,Kindu,CD,2022-06-12 22:57:08,-2.95,25.95,71.78,76,96,3.09
