City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
79,Hithadhoo,MV,-0.6,73.0833,82.6,73,100,6.62,overcast clouds
80,Longyearbyen,SJ,78.2186,15.6401,40.84,75,75,14.97,broken clouds
81,Vaini,TO,-21.2,-175.2,77.16,88,75,11.5,broken clouds
82,Thompson,CA,55.7435,-97.8558,79.59,22,100,14.81,overcast clouds
83,Bayir,TR,37.2687,28.2167,66.72,69,0,3.4,clear sky
84,Koumac,NC,-20.5667,164.2833,72.45,88,100,3.36,moderate rain
85,Cherskiy,RU,68.75,161.3,44.33,65,91,4.83,overcast clouds
86,Fortuna,US,40.5982,-124.1573,65.93,63,20,16.11,few clouds
87,San Patricio,US,28.017,-97.5169,96.17,40,6,17.38,clear sky
88,Lagoa,PT,39.05,-27.9833,63.86,83,50,17.02,scattered clouds
89,Tazovskiy,RU,67.4667,78.7,52.65,60,99,7.96,overcast clouds
90,Castro,BR,-24.7911,-50.0119,50.25,76,0,3.33,clear sky
91,Punta Arenas,CL,-53.15,-70.9167,32.11,69,0,12.66,clear sky
92,Itoman,JP,26.1247,127.6694,80.98,94,75,11.5,broken clouds
93,Megion,RU,61.0296,76.1136,55.42,65,50,7.02,scattered clouds
94,Orbetello,IT,42.4408,11.2196,74.59,44,68,5.82,broken clouds
95,Klaksvik,FO,62.2266,-6.589,49.12,93,100,36.35,overcast clouds
96,Touros,BR,-5.1989,-35.4608,77.45,75,54,11.36,broken clouds
97,Luderitz,NA,-26.6481,15.1594,57.92,87,2,10.09,clear sky
98,Rameswaram,IN,9.2833,79.3,82.15,81,76,24.0,broken clouds
99,Madras,IN,13.0878,80.2785,85.98,87,40,9.22,scattered clouds
100,Salinas,US,36.6777,-121.6555,76.98,51,0,16.11,clear sky
101,Kiama,AU,-34.6833,150.8667,57.99,81,69,3.0,broken clouds
102,Linxia,CN,35.6003,103.2064,57.25,75,99,4.16,overcast clouds
103,College,US,64.8569,-147.8028,72.59,52,75,8.05,smoke
104,Georgetown,MY,5.4112,100.3354,79.9,91,20,0.0,few clouds
105,Katobu,ID,-4.9408,122.5276,73.22,95,98,2.91,overcast clouds
106,Aguimes,ES,27.9054,-15.4461,71.65,73,40,27.63,scattered clouds
107,Launceston,AU,-41.45,147.1667,42.15,100,40,8.05,scattered clouds
108,Aksay,RU,47.26,39.87,65.25,50,88,4.0,overcast clouds
109,Buritis,BR,-15.6178,-46.4233,76.17,36,3,3.96,clear sky
110,Egvekinot,RU,66.3167,-179.1667,42.13,73,94,5.95,overcast clouds
111,Luau,AO,-10.7073,22.2247,60.73,38,16,2.68,few clouds
112,Barinas,VE,8.6226,-70.2075,83.12,68,99,6.13,overcast clouds
113,Fairbanks,US,64.8378,-147.7164,72.61,52,75,8.05,smoke
114,Nanortalik,GL,60.1432,-45.2371,46.38,84,100,13.85,light rain
115,Galle,LK,6.0367,80.217,78.91,82,85,5.44,overcast clouds
116,Vila Velha,BR,-20.3297,-40.2925,77.95,73,0,3.74,clear sky
117,Havoysund,NO,70.9963,24.6622,46.63,78,63,18.99,broken clouds
118,Marsa Matruh,EG,31.3525,27.2453,73.27,85,0,9.19,clear sky
119,Gravdal,NO,68.1214,13.5031,49.66,84,100,2.21,overcast clouds
120,Provideniya,RU,64.3833,-173.3,55.9,46,11,4.7,few clouds
121,Hay River,CA,60.8156,-115.7999,57.47,65,79,9.51,broken clouds
122,Bredasdorp,ZA,-34.5322,20.0403,51.51,79,0,10.6,clear sky
123,Heihe,CN,50.2441,127.4902,54.18,79,7,4.05,clear sky
124,Makakilo City,US,21.3469,-158.0858,82.72,56,40,17.27,scattered clouds
125,Sakakah,SA,29.9697,40.2064,94.15,12,0,8.32,clear sky
126,Moron,AR,-34.6534,-58.6198,58.89,41,22,6.93,few clouds
127,Aksu,CN,41.1231,80.2644,65.79,61,100,19.35,overcast clouds
128,Kysyl-Syr,RU,63.8986,122.7617,61.9,67,100,3.56,overcast clouds
129,Kodiak,US,57.79,-152.4072,53.11,71,100,14.97,overcast clouds
130,Ambilobe,MG,-13.2,49.05,68.49,90,1,3.22,clear sky
131,Bubaque,GW,11.2833,-15.8333,76.64,82,100,10.54,overcast clouds
